,Unnamed: 0,Assists,AssistsPercentage,BlockedShots,BlocksPercentage,DefensiveRebounds,DefensiveReboundsPercentage,DoubleDoubles,EffectiveFieldGoalsPercentage,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsFantasyDraft,FantasyPointsYahoo,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,GlobalTeamID,IsClosed,Minutes,Name,OffensiveRebounds,OffensiveReboundsPercentage,PersonalFouls,PlayerEfficiencyRating,PlayerID,PlusMinus,Points,Position,Rebounds,Season,SeasonType,Seconds,Started,StatID,Steals,StealsPercentage,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,TotalReboundsPercentage,TripleDoubles,TrueShootingAttempts,TrueShootingPercentage,TurnOversPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,Updated,UsageRatePercentage
0,0,41.7,6.0,24.8,2.3,232.2,27.7,3.4,68.5,705.4,749.2,753.9,749.2,753.9,109.3,66.5,68.5,93.5,55.2,66.5,53,20000027,False,953,Tyson Chandler,102.6,12.9,121.7,14.8,20000528,-41.7,188.2,C,334.7,2019,1,30,6,576323,23.7,1.3,LAL,27,1.1,0.0,0.0,20.5,0.0,150.5,70.4,25.5,44.0,108.2,66.5,69.3,2019-03-05T18:19:44,9.5
1,1,254.7,39.9,4.5,0.4,147.6,17.6,11.3,54.1,883.6,975.1,920.8,975.1,920.8,305.4,128.5,47.4,27.0,16.9,70.4,30,20000027,False,955,Rajon Rondo,27.0,3.4,82.3,16.7,20000530,-117.2,309.9,PG,174.7,2019,1,61,13,577197,32.7,1.8,LAL,27,95.8,36.1,42.4,10.7,1.1,317.3,55.0,25.4,92.4,209.6,92.4,49.7,2019-03-05T18:19:44,20.1
2,2,415.9,41.6,32.7,1.6,395.6,24.4,30.4,63.6,2593.3,2814.7,2698.2,2814.7,2698.2,1005.3,512.8,57.5,397.8,266.0,75.4,46,20000027,False,1848,LeBron James,53.0,3.4,87.9,34.5,20000571,83.4,1399.7,SF,448.5,2019,1,34,46,577201,72.1,2.1,LAL,27,308.8,108.2,39.4,14.1,6.8,1180.3,66.8,14.8,178.1,696.5,404.6,65.5,2019-03-05T18:19:44,34.4
3,3,74.4,8.6,36.1,2.6,172.4,15.7,1.1,57.3,871.2,949.8,927.5,949.8,927.5,337.0,130.7,43.7,91.3,74.4,91.9,53,20000027,False,1246,Mike Muscala,58.6,5.6,135.2,14.0,20000613,39.4,418.1,PF,231.0,2019,1,11,6,575675,20.3,0.9,LAL,27,242.3,82.3,38.3,10.8,0.0,377.1,62.5,12.8,48.5,94.7,48.5,57.7,2019-03-05T18:19:44,16.0
4,4,135.2,20.1,6.8,0.6,167.9,18.0,0.0,59.1,941.3,1029.0,988.6,1029.0,988.6,421.5,184.8,49.5,73.3,49.6,76.3,60,20000027,False,1061,Lance Stephenson,30.4,3.4,111.6,17.5,20000751,-103.7,490.2,SG,198.4,2019,1,42,0,577210,40.6,2.0,LAL,27,186.0,71.0,43.1,10.9,0.0,453.7,60.9,17.7,84.5,235.5,113.8,54.4,2019-03-05T18:19:44,23.8
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20000027,False,0,Travis Wear,0.0,0.0,0.0,0.0,20000792,0.0,0.0,SF,0.0,2019,1,0,0,577212,0.0,0.0,LAL,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-05T18:19:44,0.0
6,6,78.9,7.1,11.3,0.6,149.9,10.2,0.0,59.5,1134.2,1223.6,1206.3,1223.6,1206.3,559.0,240.1,48.3,125.1,107.1,96.5,64,20000027,False,1676,Kentavious Caldwell-Pope,38.3,2.7,111.6,16.1,20000811,-151.0,696.5,SG,188.2,2019,1,24,12,577214,60.9,1.9,LAL,27,321.2,109.3,38.3,6.5,0.0,614.0,63.9,8.6,50.7,237.8,130.7,62.0,2019-03-05T18:19:44,18.6
7,7,42.8,5.4,121.7,8.1,271.6,22.9,6.8,69.2,1505.7,1582.0,1663.5,1582.0,1663.5,510.5,312.2,68.9,126.2,82.3,73.5,57,20000027,False,1350,JaVale McGee,151.0,13.4,163.4,27.2,20000828,-100.3,707.8,C,422.6,2019,1,65,44,577216,36.1,1.4,LAL,27,9.0,1.1,14.1,18.2,0.0,566.1,70.4,15.3,89.0,501.5,311.1,69.9,2019-03-05T18:19:44,22.7
8,8,138.6,11.2,12.4,0.6,147.6,9.1,0.0,61.1,1138.2,1254.4,1185.5,1254.4,1185.5,578.2,238.9,46.5,83.4,72.1,97.5,53,20000027,False,1843,Reggie Bullock,23.7,1.5,107.1,13.9,20000896,5.6,697.6,SF,171.3,2019,1,14,53,576455,34.9,1.0,LAL,27,383.2,147.6,43.4,5.4,0.0,614.8,63.9,11.2,67.6,195.0,91.3,52.7,2019-03-05T18:19:44,17.3
9,9,28.2,16.5,11.3,3.2,53.0,19.3,0.0,56.0,339.8,360.1,361.2,360.1,361.2,172.4,84.5,55.2,44.0,31.6,80.9,26,20000027,False,312,Michael Beasley,14.7,5.6,47.3,21.9,20000928,-44.0,204.0,SF,67.6,2019,1,32,2,577219,10.1,1.7,LAL,27,19.2,3.4,19.8,12.6,0.0,191.8,60.0,15.4,30.4,153.3,81.1,59.6,2019-03-05T18:19:44,33.3
